🇨🇳公告,#genre#
测试中,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgr-2n9AUoqsakNg.mp4
非正式开放,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg45qY9wUonJT41gc.mp4

🇨🇳808秒,#genre#
民視,https://fsv4.yj011.net/sat/tv051.flv
台視,https://fsv4.yj011.net/sat/tv071.flv
中視,https://fsv4.yj011.net/sat/tv091.flv
華視,https://fsv4.yj011.net/sat/tv111.flv
TVBS新聞,https://fsv4.yj011.net/sat/tv551.flv
TVBS歡樂,https://fsv4.yj011.net/sat/tv421.flv
東森財經新聞,https://fsv4.yj011.net/sat/tv571.flv
緯來育樂,https://fsv4.yj011.net/sat/tv701.flv
緯來體育,https://fsv4.yj011.net/sat/tv721.flv
ELEVEN1,https://fsv4.yj011.net/sat/tv731.flv
ELEVEN2,https://fsv4.yj011.net/sat/tv741.flv
MOMO綜合,https://fsv4.yj011.net/sat/tv761.flv
緯來日本,https://fsv4.yj011.net/sat/tv771.flv
博斯網球,https://fsv4.yj011.net/sat/md031.flv
博斯網球,https://fsv4.yj011.net/sat/md041.flv
博斯運動,https://fsv4.yj011.net/sat/md051.flv
🇨🇳808(备),#genre#
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0
香港卫视[1024*576],http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=ec991d84cbef928ab3a882ad-165166992977141&wsIPSercert=315bc45f13e35a4a62376fd85478636c&wsMonitor=0
凤凰资讯[1920*1080],http://113.117.74.12:8081/hls/36/index.m3u8
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰中文[1920*1080],http://113.117.74.12:8081/hls/37/index.m3u8
TVB星河[1920*1080],http://113.117.74.12:8081/hls/135/index.m3u8
凤凰香港[1920*1080],http://113.117.74.12:8081/hls/38/index.m3u8
翡翠台[768*576][768*576],http://113.117.74.12:8081/hls/25/index.m3u8
明珠台[768*576][768*576],http://113.117.74.12:8081/hls/26/index.m3u8
澳門衛視[720*576],https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
CGTN美国[1024*576],http://live.cgtn.com/1000/prog_index.m3u8?zshijd
凤凰香港[1920*1080],http://113.117.74.20:8081/hls/38/index.m3u8
CGTN(Opt_1)[1024*576],http://live.cgtn.com/500/prog_index.m3u8?zshijd
CETV-2[1920*1080],http://txycetvbl.centv.cn/cetv2/2020tsytk.m3u8
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq.flv
欧洲华文2台[1920*1080],http://vvlive.eztv.vip/huawen2/huawen2.m3u8?auth_key=1661418936-0-0-bc9f000c6daa2def0b71d5389778b0d3
环球电视台[1280*720],http://zb.xzxwhcb.com:9999/hls/world.m3u8
韩国EBS少儿童频道[640*360],http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8?zshijd
香港卫视[1024*576],http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
香港卫视[1024*576],http://107.151.203.111:2209/135/hk.php?id=hkws
韩国EBS第一频道[640*360],http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8?zshijd
欧洲华文1台[1920*1080],http://vvlive.eztv.vip/huawen1/huawen1.m3u8?auth_key=1661769627-0-0-3a16475ac0fa2a152a25661e8634fe39
